ئافرىقا	Afrika
ياپونىيە	Japan
جەنۇبىي ئامېرىكا	Zuid-Amerika
نورۋېگىيە	Noorwegen
Shotlandiye	Schotland
Wélsh	Wales
ۋېنگرىيە	Hongarije
ئىسپانىيە	Spanje
ئامېرىكا قوشما شىتاتلىرى	Verenigde Staten
بېلگىيە	België
ليۇكسېمبۇرگ	Luxemburg (land)
يەر شارى	Aarde (planeet)
گېئورگى ۋاشىنگتون	George Washington
فىنلاندىيە	Finland
شۋېتسىيە	Zweden
دانىيە	Denemarken
لەھىستان	Polen
لىتۋا	Litouwen
ئىتالىيە	Italië
شۋېتسارىيە	Zwitserland
ئاۋستىرىيە	Oostenrijk
گرېتسىيە	Griekenland
تۈركىيە جۇمھۇرىيىتى	Turkije
پورتۇگالىيە	Portugal
ياۋروپا	Europa (werelddeel)
ئاسىيا	Azië
شىمالىي ئامېرىكا	Noord-Amerika
ۋىكىپېدىيە	Wikipedia
گوللاندىيە	Nederland
Nyu York Shehiri	New York City
ۋاشىنگتون	Washington D.C.
San Fransisko	San Francisco
Bérlin	Berlijn
Los Anjélés	Los Angeles
كومپيۇتېر	Computer
بېرن	Bern (stad)
Jenwe	Genève (stad)
سيۇرىخ	Zürich (stad)
خەلقارالىق تور	Internet
باراك ئوباما	Barack Obama
ئۇرۇگۋاي	Uruguay
London	Londen
كايرو	Caïro (stad)
ئالما	Appel (plant)
پارىژ	Parijs
مېكسىكا	Mexico (land)
Kaliforniye Shitati	Californië
Boston	Boston
مارس	Mars (planeet)
كېنىيە	Kenia
ئېفىئوپىيە	Ethiopië
گانا جۇمھۇرىيىتى	Ghana
شىر	Leeuw (dier)
فرانسىيە	Frankrijk
ئېسپېرانتو	Esperanto
ئىت	Hond
بۈيۈك بېرىتانىيە	Verenigd Koninkrijk
مۈشۈك	Kat (dier)
جۇڭخۇا خەلق جۇمھۇرىيىتى	Volksrepubliek China
فرانسۇز تىلى	Frans
برازىلىيە	Brazilië
روسىيە	Rusland
قارا دېڭىز	Zwarte Zee
Toronto	Toronto
Alabama Shitati	Alabama
San Pawlo	São Paulo (stad)
Kwébék	Quebec (provincie)
ۋىكىپېدىيە ۋەخپى	Wikimedia Foundation
جىمى ۋالىس	Jimmy Wales
گېرمانىيە	Duitsland
بېلورۇسسىيە	Wit-Rusland
نېمىس تىلى	Duits
ئىسلاندىيە	IJsland
ئېستونىيە	Estland
ساتۇرن	Saturnus (planeet)
ئايروپىلان	Vliegtuig
جورج ۋولكېر بۇش	George W. Bush
لاتۋىيە	Letland
ئۇكرائىنا	Oekraïne
چېخ جۇمھۇرىيەتى	Tsjechië
سلوۋاكىيە	Slowakije
سلوۋېنىيە	Slovenië
مولدوۋا	Moldavië (land)
رۇمىنىيە	Roemenië
بۇلغارىيە	Bulgarije
Rim	Rome (stad)
ماكېدونىيە	Macedonië (land)
ئالبانىيە	Albanië
گرېنلاندىيە	Groenland
كرودىيە	Kroatië
بوسنىيە ۋە ھېرسېگوۋىنا	Bosnië en Herzegovina
ئەزەربەيجان	Azerbeidzjan
ئاندوررا	Andorra
سىپرۇس	Cyprus
گرۇزىيە	Georgië
قازاقىستان	Kazachstan
مالتا	Malta (land)
موناكو	Monaco
چېرنوگورىيە	Montenegro
ۋاتىكان شەھىرى	Vaticaanstad
سان مارىنو	San Marino
Bryussél	Brussels Hoofdstedelijk Gewest
كۇبا	Cuba (land)
بېلىز	Belize (land)
باربادوس	Barbados
ئاممىباپ ئاپتوموبىل	Volkswagen
ھىندونېزىيە	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
بىتخوۋىن	Ludwig van Beethoven
تۈرك تىلى	Turks
جەنۇبىي ئافرىقا	Zuid-Afrika
ئالجىرىيە	Algerije
ئۆزبېكىستان	Oezbekistan
Poznan	Poznań (stad)
Tashkent	Tasjkent
