Αφρική	Afrika
Ιαπωνία	Japan
Νότια Αμερική	Zuid-Amerika
Νορβηγία	Noorwegen
Αγγλία	Engeland
Σκωτία	Schotland
Ουαλία	Wales
Βόρεια Ιρλανδία	Noord-Ierland
Δημοκρατία της Ιρλανδίας	Ierland (land)
Ουγγαρία	Hongarije
Ισπανία	Spanje
Ηνωμένες Πολιτείες Αμερικής	Verenigde Staten
Βέλγιο	België
Λουξεμβούργο	Luxemburg (land)
Σύμπαν	Heelal
Γη	Aarde (planeet)
Ζωή	Leven
Θάνατος	Dood
Άνθρωπος	Mens
Ευτυχία	Geluk (emotie)
Τρισκαιδεκαφοβία	Triskaidekafobie
Τζορτζ Ουάσινγκτον	George Washington
Ντάγκλας Άνταμς	Douglas Adams
Τιμ Μπέρνερς Λι	Tim Berners-Lee
Στάνλεϊ Κιούμπρικ	Stanley Kubrick
Ημερολόγιο των Μάγιας	Mayakalender
Wikidata	Wikidata
Φινλανδία	Finland
Σουηδία	Zweden
Δανία	Denemarken
Πολωνία	Polen
Λιθουανία	Litouwen
Ιταλία	Italië
Ελβετία	Zwitserland
Αυστρία	Oostenrijk
Ελλάδα	Griekenland
Τουρκία	Turkije
Μπύρα	Bier
Πορτογαλία	Portugal
Ευρώπη	Europa (werelddeel)
Ασία	Azië
Βόρεια Αμερική	Noord-Amerika
Ανταρκτική	Antarctica
Βικιπαίδεια	Wikipedia
All your base are belong to us	All your base are belong to us
Ολλανδία	Nederland
Πέος	Penis
PHP	PHP
Νέα Υόρκη	New York City
Ουάσινγκτον	Washington D.C.
Σαν Φρανσίσκο	San Francisco
Βερολίνο	Berlijn
Λος Άντζελες	Los Angeles
Airbus	Airbus
Ηλεκτρονικός υπολογιστής	Computer
Βέρνη	Bern (stad)
Γενεύη	Genève (stad)
Ζυρίχη	Zürich (stad)
Internet Relay Chat	Internet Relay Chat
Διαδίκτυο	Internet
Μπαράκ Ομπάμα	Barack Obama
Ουρουγουάη	Uruguay
Βασιλεία (Ελβετία)	Bazel (Zwitserland)
Εκτυπωτής	Printer
MediaWiki	MediaWiki
Λονδίνο	Londen
Κάιρο	Caïro (stad)
Πονοκέφαλος	Hoofdpijn
Αλεξάνδρεια	Alexandrië
Μήλο	Appel (plant)
