ทวีปแอฟริกา	Afrika
ประเทศญี่ปุ่น	Japan
ทวีปอเมริกาใต้	Zuid-Amerika
ประเทศนอร์เวย์	Noorwegen
ประเทศอังกฤษ	Engeland
ประเทศสกอตแลนด์	Schotland
ประเทศเวลส์	Wales
ไอร์แลนด์เหนือ	Noord-Ierland
ประเทศไอร์แลนด์	Ierland (land)
ประเทศฮังการี	Hongarije
ประเทศสเปน	Spanje
สหรัฐอเมริกา	Verenigde Staten
ประเทศเบลเยียม	België
ประเทศลักเซมเบิร์ก	Luxemburg (land)
เอกภพ	Heelal
โลก (ดาวเคราะห์)	Aarde (planeet)
ชีวิต	Leven
ความตาย	Dood
มนุษย์	Mens
ความสุข	Geluk (emotie)
อาการกลัวเลขสิบสาม	Triskaidekafobie
จอร์จ วอชิงตัน	George Washington
ทิม เบอร์เนิร์ส-ลี	Tim Berners-Lee
ลีท	Leet
อิแมจิน (เพลง)	Imagine (John Lennon)
สแตนลีย์ คูบริก	Stanley Kubrick
วิกิสนเทศ	Wikidata
ประเทศฟินแลนด์	Finland
ประเทศสวีเดน	Zweden
ประเทศเดนมาร์ก	Denemarken
ประเทศโปแลนด์	Polen
ประเทศลิทัวเนีย	Litouwen
ประเทศอิตาลี	Italië
ประเทศสวิตเซอร์แลนด์	Zwitserland
ประเทศออสเตรีย	Oostenrijk
ประเทศกรีซ	Griekenland
ประเทศตุรกี	Turkije
เบียร์	Bier
ประเทศโปรตุเกส	Portugal
ทวีปยุโรป	Europa (werelddeel)
ทวีปเอเชีย	Azië
ทวีปอเมริกาเหนือ	Noord-Amerika
ทวีปแอนตาร์กติกา	Antarctica
วิกิพีเดีย	Wikipedia
ประเทศเนเธอร์แลนด์	Nederland
องคชาต	Penis
ภาษาพีเอชพี	PHP
นครนิวยอร์ก	New York City
วอชิงตัน ดี.ซี.	Washington D.C.
ซานฟรานซิสโก	San Francisco
เบอร์ลิน	Berlijn
ลอสแอนเจลิส	Los Angeles
โบอิง	Boeing
แอร์บัส	Airbus
คอมพิวเตอร์	Computer
เบิร์น	Bern (stad)
เจนีวา	Genève (stad)
ซูริก	Zürich (stad)
ไออาร์ซี	Internet Relay Chat
อินเทอร์เน็ต	Internet
บารัค โอบามา	Barack Obama
ประเทศอุรุกวัย	Uruguay
บาเซิล	Bazel (Zwitserland)
เครื่องพิมพ์	Printer
มีเดียวิกิ	MediaWiki
ลอนดอน	Londen
ไคโร	Caïro (stad)
ปวดศีรษะ	Hoofdpijn
อะเล็กซานเดรีย	Alexandrië
แอปเปิล	Appel (plant)
ปารีส	Parijs
อับราฮัม ลินคอล์น	Abraham Lincoln
แอนดรอยด์ (ระบบปฏิบัติการ)	Android (besturingssysteem)
